Enhanced lrslib ray discovery log
Started: 2025-07-25 15:02:39
Input: n6data/n6_restart_startingcobasis.ine
Output: n6data/new_rays_from_1381_enhanced.ext
============================================================

[2025-07-25 15:02:39] 🚀 STARTING: Enhanced lrslib ray discovery
[2025-07-25 15:02:39] 📁 INPUT: n6data/n6_restart_startingcobasis.ine
[2025-07-25 15:02:39] 📁 OUTPUT: n6data/new_rays_from_1381_enhanced.ext
[2025-07-25 15:02:39] 📁 LOG: n6data/ray_discovery_enhanced.log
[2025-07-25 15:02:39] 📊 INPUT SIZE: 1220.1 MB
[2025-07-25 15:02:39] ⚡ LAUNCHING: lrslib process with monitoring
[2025-07-25 16:40:40] ⏰ PROGRESS: 5882s elapsed, 0 rays found
[2025-07-25 16:41:10] ⏰ PROGRESS: 5912s elapsed, 0 rays found
[2025-07-25 16:41:40] ⏰ PROGRESS: 5942s elapsed, 0 rays found
[2025-07-25 16:42:10] ⏰ PROGRESS: 5972s elapsed, 0 rays found
[2025-07-25 16:42:40] ⏰ PROGRESS: 6002s elapsed, 0 rays found
[2025-07-25 16:43:10] ⏰ PROGRESS: 6032s elapsed, 0 rays found
[2025-07-25 16:43:40] ⏰ PROGRESS: 6062s elapsed, 0 rays found
[2025-07-25 16:44:10] ⏰ PROGRESS: 6092s elapsed, 0 rays found
[2025-07-25 16:44:40] ⏰ PROGRESS: 6122s elapsed, 0 rays found
[2025-07-25 16:45:10] ⏰ PROGRESS: 6152s elapsed, 0 rays found
[2025-07-25 16:45:40] ⏰ PROGRESS: 6182s elapsed, 0 rays found
[2025-07-25 16:46:10] ⏰ PROGRESS: 6212s elapsed, 0 rays found
[2025-07-25 16:46:40] ⏰ PROGRESS: 6242s elapsed, 0 rays found
[2025-07-25 16:47:10] ⏰ PROGRESS: 6272s elapsed, 0 rays found
[2025-07-25 16:47:40] ⏰ PROGRESS: 6302s elapsed, 0 rays found
[2025-07-25 16:48:11] ⏰ PROGRESS: 6332s elapsed, 0 rays found
[2025-07-25 16:48:41] ⏰ PROGRESS: 6362s elapsed, 0 rays found
